No,data,rating
68,teh,5
69,nasi goreng,5
69,mie kuah,5
69,nasi-nasian,5
69,mie-miean,5
69,bakso/batagor/siomay,5
69,bubur,5
69,ayam bakar/goreng/fried chicken,5
69,kue-kue,5
69,roti bakar/kukus,5
69,es krim,5
69,sate,5
69,kebab,5
69,burger,5
69,es campur,5
69,teh,5
69,kopi,5
69,bubble tea,5
69,susu,5
70,nasi goreng,5
70,bakso/batagor/siomay,5
70,bubur,5
70,ayam bakar/goreng/fried chicken,5
70,buah potong/rujak,5
70,roti bakar/kukus,5
70,es krim,5
70,sate,5
70,gorengan lain,5
70,cendol,5
70,es campur,5
70,teh,5
70,kopi,5
70,soda/soft drink,5
70,jus buah,5
71,nasi goreng,5
71,mie kuah,5
71,nasi-nasian,5
71,mie-miean,5
71,bakso/batagor/siomay,5
71,bubur,5
71,ayam bakar/goreng/fried chicken,5
71,kue-kue,5
71,buah potong/rujak,5
71,roti bakar/kukus,5
71,es krim,5
71,jagung,5
71,kacang,5
71,ubi,5
71,tahu,5
71,sate,5
71,gorengan lain,5
71,cendol,5
71,es campur,5
71,es doger,5
71,teh,5
71,bubble tea,5
71,soda/soft drink,5
71,susu,5
71,jus buah,5
72,nasi goreng,5
72,es campur,5
73,mie kuah,5
73,bakso/batagor/siomay,5
73,sate,5
73,teh,5
74,nasi goreng,5
74,bakso/batagor/siomay,5
74,bubur,5
74,kue-kue,5
74,roti bakar/kukus,5
74,sate,5
74,cendol,5
74,es campur,5
74,jus buah,5
74,kopi,5
75,nasi goreng,5
75,mie-miean,5
75,ayam bakar/goreng/fried chicken,5
75,sate,5
75,cendol,5
75,susu,5
76,nasi-nasian,5
76,mie-miean,5
76,bakso/batagor/siomay,5
76,bubur,5
76,ayam bakar/goreng/fried chicken,5
76,kue-kue,5
76,buah potong/rujak,5
76,roti bakar/kukus,5
76,es krim,5
76,sate,5
76,gorengan lain,5
76,cendol,5
76,es campur,5
76,jus buah,5
77,bakso/batagor/siomay,5
77,kue-kue,5
77,gorengan lain,5
77,es campur,5
77,bubble tea,5
77,jus buah,5
78,nasi goreng,5
78,nasi-nasian,5
78,mie-miean,5
78,bakso/batagor/siomay,5
78,bubur,5
78,roti bakar/kukus,5
78,es krim,5
78,tahu,5
78,sate,5
78,gorengan lain,5
78,teh,5
78,soda/soft drink,5
79,nasi goreng,5
79,mie kuah,5
79,bakso/batagor/siomay,5
79,sate,5
79,gorengan lain,5
79,cendol,5
79,es campur,5
79,teh,5
80,nasi-nasian,5
80,mie-miean,5
80,bakso/batagor/siomay,5
80,kue-kue,5
80,jagung,5
80,tahu,5
80,sate,5
80,gorengan lain,5
80,es campur,5
80,kopi,5
80,jus buah,5
81,nasi goreng,5
81,mie kuah,5
81,mie-miean,5
81,bakso/batagor/siomay,5
81,bubur,5
81,ayam bakar/goreng/fried chicken,5
81,buah potong/rujak,5
81,roti bakar/kukus,5
81,es krim,5
81,sate,5
81,gorengan lain,5
81,jus buah,5
82,nasi goreng,5
82,mie kuah,5
82,bakso/batagor/siomay,5
82,bubur,5
82,ayam bakar/goreng/fried chicken,5
82,kue-kue,5
82,roti bakar/kukus,5
82,es krim,5
82,sate,5
82,gorengan lain,5
82,cendol,5
82,es campur,5
82,es doger,5
82,teh,5
82,bubble tea,5
82,susu,5
82,jus buah,5
83,mie-miean,5
83,bakso/batagor/siomay,5
83,ayam bakar/goreng/fried chicken,5
83,kue-kue,5
83,roti bakar/kukus,5
83,gorengan lain,5
83,teh,5
83,kopi,5
83,soda/soft drink,5
84,nasi goreng,5
84,mie kuah,5
84,bakso/batagor/siomay,5
84,es campur,5
84,kopi,5
85,nasi goreng,5
85,bakso/batagor/siomay,5
85,kue-kue,5
85,tahu,5
85,gorengan lain,5
85,bubble tea,5
85,susu,5
85,jus buah,5
86,nasi goreng,5
86,mie-miean,5
86,bakso/batagor/siomay,5
86,ayam bakar/goreng/fried chicken,5
86,gorengan lain,5
86,teh,5
86,susu,5
86,jus buah,5
87,nasi goreng,5
87,mie-miean,5
87,bakso/batagor/siomay,5
87,gorengan lain,5
87,cendol,5
87,kopi,5
87,soda/soft drink,5
88,nasi goreng,5
88,mie-miean,5
88,bakso/batagor/siomay,5
88,gorengan lain,5
88,bubble tea,5
88,susu,5
88,jus buah,5
89,nasi goreng,5
89,mie kuah,5
89,mie-miean,5
89,bakso/batagor/siomay,5
89,bubur,5
89,ayam bakar/goreng/fried chicken,5
89,es krim,5
89,jagung,5
89,tahu,5
89,gorengan lain,5
89,es doger,5
89,kopi,5
89,bubble tea,5
89,soda/soft drink,5
90,nasi goreng,5
90,bakso/batagor/siomay,5
90,bubur,5
90,sate,5
90,gorengan lain,5
90,cendol,5
90,teh,5
