userID,movieID,rating
16,sate,5
16,gorengan lain,5
16,es krim,1
16,ubi,1
16,takoyaki,1
16,martabak,1
16,aci,1
16,lotek,1
16,macaroni,1
16,lumpia basah,1
16,seblak,1
16,angkringan,1
16,soto/sop/makanan berkuah lainnya,1
16,dimsum,1
16,kebab,1
16,burger,1
16,kerang ijo,1
16,asinan,1
16,teh,5
16,cendol,1
16,es campur,1
16,bubble tea,1
16,susu,1
16,jus buah,1
16,soda/soft drink,1
16,es doger,1
16,kopi,1
16,wedang,1
16,minuman air,1
16,air kelapa,1
16,cincau,1
17,sosis,1
17,nasi goreng,5
17,mie kuah,1
17,nasi-nasian,1
17,mie-miean,5
17,bakso/batagor/siomay,5
17,bubur,5
17,ayam bakar/goreng/fried chicken,1
17,kue-kue,1
17,buah potong/rujak,1
17,roti bakar/kukus,1
17,jagung,1
17,kacang,1
17,tahu,1
17,sate,5
17,gorengan lain,5
17,es krim,5
17,ubi,1
17,takoyaki,1
17,martabak,1
17,aci,1
17,lotek,5
17,macaroni,1
17,lumpia basah,1
17,seblak,1
17,angkringan,1
17,soto/sop/makanan berkuah lainnya,1
17,dimsum,1
17,kebab,1
17,burger,1
17,kerang ijo,1
17,asinan,1
17,teh,1
17,cendol,1
17,es campur,1
17,bubble tea,1
17,susu,1
17,jus buah,5
17,soda/soft drink,1
17,es doger,5
17,kopi,1
17,wedang,1
17,minuman air,1
17,air kelapa,1
17,cincau,1
18,sosis,1
18,nasi goreng,5
18,mie kuah,1
18,nasi-nasian,1
18,mie-miean,5
18,bakso/batagor/siomay,1
18,bubur,1
18,ayam bakar/goreng/fried chicken,1
18,kue-kue,1
18,buah potong/rujak,1
18,roti bakar/kukus,1
18,jagung,1
18,kacang,1
18,tahu,1
18,sate,5
18,gorengan lain,5
18,es krim,1
18,ubi,1
18,takoyaki,1
18,martabak,1
18,aci,1
18,lotek,1
18,macaroni,1
18,lumpia basah,1
18,seblak,1
18,angkringan,1
