userid,foodanddrinkname,rating
34,es krim,5
34,ubi,1
34,luar negeri,1
34,gorengan basah,1
34,berkuah,1
34,cendol,5
34,es campur,1
34,bubble tea,5
34,susu,5
34,jus buah,5
34,soft drink,1
34,es doger,1
34,teh,1
34,kopi,5
34,air mineral,1
34,air kelapa,1
35,nasi goreng,5
35,mie kuah,1
35,nasi,1
35,mie,1
35,bakso,5
35,bubur,5
35,ayam,5
35,kue,5
35,buah,1
35,roti,5
35,jagung,1
35,kacang,1
35,tahu,1
35,sate,5
35,gorengan kering,5
35,es krim,1
35,ubi,5
35,luar negeri,1
35,gorengan basah,1
35,berkuah,1
35,cendol,5
35,es campur,5
35,bubble tea,1
35,susu,1
35,jus buah,5
35,soft drink,1
35,es doger,5
35,teh,1
35,kopi,1
35,air mineral,1
35,air kelapa,1
36,nasi goreng,5
36,mie kuah,5
36,nasi,5
36,mie,5
36,bakso,5
36,bubur,5
36,ayam,5
36,kue,1
36,buah,5
36,roti,5
36,jagung,1
36,kacang,1
36,tahu,5
36,sate,5
36,gorengan kering,5
36,es krim,5
36,ubi,1
36,luar negeri,1
36,gorengan basah,1
36,berkuah,1
36,cendol,1
36,es campur,1
36,bubble tea,5
36,susu,5
36,jus buah,5
36,soft drink,5
36,es doger,1
36,teh,1
36,kopi,1
36,air mineral,1
36,air kelapa,1
37,nasi goreng,1
37,mie kuah,1
37,nasi,1
37,mie,5
37,bakso,5
37,bubur,1
37,ayam,5
37,kue,5
37,buah,1
37,roti,1
37,jagung,5
37,kacang,5
37,tahu,1
37,sate,5
37,gorengan kering,1
37,es krim,1
37,ubi,1
37,luar negeri,1
37,gorengan basah,1
37,berkuah,1
37,cendol,5
37,es campur,5
37,bubble tea,1
37,susu,1
37,jus buah,5
37,soft drink,1
37,es doger,1
37,teh,1
37,kopi,1
37,air mineral,1
37,air kelapa,1
38,nasi goreng,5
38,mie kuah,1
38,nasi,1
38,mie,5
38,bakso,5
38,bubur,1
38,ayam,1
38,kue,1
38,buah,1
38,roti,1
38,jagung,1
38,kacang,1
38,tahu,1
38,sate,5
38,gorengan kering,5
38,es krim,1
38,ubi,1
38,luar negeri,1
38,gorengan basah,1
38,berkuah,1
38,cendol,5
38,es campur,1
38,bubble tea,1
38,susu,1
38,jus buah,5
38,soft drink,1
38,es doger,1
38,teh,1
38,kopi,1
38,air mineral,1
38,air kelapa,1
40,nasi goreng,1
40,mie kuah,1
40,nasi,1
40,mie,5
40,bakso,5
40,bubur,5
40,ayam,5
40,kue,1
40,buah,1
40,roti,1
40,jagung,1
40,kacang,1
40,tahu,1
40,sate,1
40,gorengan kering,5
40,es krim,1
40,ubi,1
40,luar negeri,1
40,gorengan basah,1
40,berkuah,1
40,cendol,5
40,es campur,1
40,bubble tea,1
40,susu,5
40,jus buah,1
40,soft drink,5
40,es doger,1
40,teh,5
40,kopi,1
40,air mineral,1
40,air kelapa,1
41,nasi goreng,1
41,mie kuah,1
41,nasi,1
41,mie,5
41,bakso,5
41,bubur,1
41,ayam,1
41,kue,1
41,buah,5
41,roti,1
41,jagung,1
41,kacang,1
41,tahu,1
41,sate,1
41,gorengan kering,1
41,es krim,1
41,ubi,1
41,luar negeri,1
41,gorengan basah,1
41,berkuah,1
41,cendol,1
41,es campur,1
41,bubble tea,1
41,susu,1
41,jus buah,1
41,soft drink,1
41,es doger,1
41,teh,5
41,kopi,5
41,air mineral,1
41,air kelapa,1
42,nasi goreng,5
42,mie kuah,5
42,nasi,5
42,mie,5
42,bakso,5
42,bubur,5
42,ayam,5
42,kue,1
42,buah,1
42,roti,1
42,jagung,1
42,kacang,1
42,tahu,1
42,sate,5
42,gorengan kering,5
42,es krim,5
42,ubi,1
42,luar negeri,1
42,gorengan basah,1
42,berkuah,1
42,cendol,5
42,es campur,1
42,bubble tea,5
42,susu,5
42,jus buah,5
42,soft drink,5
42,es doger,5
42,teh,5
42,kopi,5
42,air mineral,1
42,air kelapa,1
43,nasi goreng,5
43,mie kuah,1
43,nasi,5
43,mie,1
43,bakso,5
43,bubur,1
43,ayam,1
43,kue,1
43,buah,1
43,roti,1
43,jagung,1
43,kacang,1
43,tahu,1
43,sate,5
43,gorengan kering,1
43,es krim,1
43,ubi,1
43,luar negeri,1
43,gorengan basah,1
43,berkuah,1
43,cendol,5
43,es campur,5
43,bubble tea,5
43,susu,5
43,jus buah,5
43,soft drink,1
43,es doger,1
43,teh,1
43,kopi,1
43,air mineral,1
43,air kelapa,1
44,nasi goreng,5
44,mie kuah,5
44,nasi,1
44,mie,5
44,bakso,5
44,bubur,5
44,ayam,5
44,kue,1
44,buah,1
44,roti,1
44,jagung,1
44,kacang,1
44,tahu,1
44,sate,1
44,gorengan kering,1
44,es krim,1
44,ubi,1
44,luar negeri,1
44,gorengan basah,1
44,berkuah,1
44,cendol,5
44,es campur,5
44,bubble tea,1
44,susu,1
44,jus buah,5
44,soft drink,1
44,es doger,5
44,teh,1
44,kopi,1
44,air mineral,1
44,air kelapa,1
