No,data
120,sate
120,gorengan lain
120,soto/sop/makanan berkuah lainnya
120,cendol
120,es campur
120,es doger
120,teh
121,nasi goreng
121,bakso/batagor/siomay
121,bubur
121,ayam bakar/goreng/fried chicken
121,sate
121,gorengan lain
121,teh
121,kopi
121,air kelapa
122,bakso/batagor/siomay
122,es campur
122,bubble tea
123,mie-miean
123,bakso/batagor/siomay
123,kue-kue
123,es krim
123,es doger
123,teh
123,bubble tea
123,soda/soft drink
123,susu
123,jus buah
124,nasi goreng
124,bakso/batagor/siomay
124,gorengan lain
124,cendol
124,bubble tea
124,jus buah
125,nasi goreng
125,bakso/batagor/siomay
125,ayam bakar/goreng/fried chicken
125,kue-kue
125,roti bakar/kukus
125,tahu
125,gorengan lain
125,cendol
125,es campur
125,es doger
126,nasi goreng
126,bakso/batagor/siomay
126,bubur
126,buah potong/rujak
126,roti bakar/kukus
126,tahu
126,sate
126,gorengan lain
126,soto/sop/makanan berkuah lainnya
126,es campur
126,es doger
126,teh
126,minuman air
127,nasi goreng
127,bakso/batagor/siomay
127,bubur
127,roti bakar/kukus
127,sate
127,cendol
127,bubble tea
127,soda/soft drink
127,susu
127,jus buah
128,mie-miean
128,bakso/batagor/siomay
128,bubur
128,sate
128,soto/sop/makanan berkuah lainnya
128,kopi
128,bubble tea
129,bakso/batagor/siomay
129,ayam bakar/goreng/fried chicken
129,sate
129,gorengan lain
129,kopi
129,jus buah
130,nasi goreng
130,mie kuah
130,bakso/batagor/siomay
130,cendol
130,es campur
130,es doger
131,bakso/batagor/siomay
131,buah potong/rujak
131,gorengan lain
131,jus buah
132,ayam bakar/goreng/fried chicken
132,buah potong/rujak
132,sate
132,gorengan lain
132,soto/sop/makanan berkuah lainnya
132,teh
133,nasi goreng
133,bakso/batagor/siomay
133,buah potong/rujak
133,jagung
133,minuman air
134,nasi goreng
134,bakso/batagor/siomay
134,gorengan lain
134,soto/sop/makanan berkuah lainnya
134,teh
135,nasi goreng
135,bakso/batagor/siomay
135,bubur
135,ayam bakar/goreng/fried chicken
135,kue-kue
135,soto/sop/makanan berkuah lainnya
135,bubble tea
135,jus buah
136,nasi goreng
136,mie kuah
136,nasi-nasian
136,mie-miean
136,bakso/batagor/siomay
136,bubur
136,kue-kue
136,buah potong/rujak
136,tahu
136,sate
